,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000,unempr,grp,rGDP,pref2,suicide,death_rate,liver_disease,liver_disease_m,liver_disease_f,liver_disease_rate,year,loony,suicide_per_1000,loony_per_1000,liver_disease_1000,log_adult_population_per_1000,log_suicide_per_1000,log_loony_per_1000,liver_disease_per_1000,log_liver_disease_per_1000,log_cons_per_1000,log_loony_per_1000FE,rGDPFE,log_cons_per_1000FE,log_liver_disease_per_1000FE,burdenFE,log_adult_population,log_adult_populationFE,log_suicide_per_1000FE,pref_id
46,北海道,北海道,0.367041237,33153.49,25,4558,7.273692409,4.45,19245348,2,北海道,1080,21,313,193,120,6,26,6.1,0.236946029,0.001338306,0.06867047,8.42463921,-1.43992289,-6.616350439,0.06867047,-2.678436019,8.892019338,-0.050059217,1.186666667,-0.110158612,0.103794474,-0.012181752,8.42463921,-0.006553979,-0.215617502,0
47,青森,青  森,0.362293882,8915.695,25,1112,8.017711331,4.85,4619522,2,青  森,270,23,106,71,35,8,26,1,0.242805755,0.000899281,0.095323741,7.013915475,-1.415493516,-7.013915475,0.095323741,-2.350476381,8.98940829,0.25944773,1.186666667,-0.110999945,0.192486308,-0.013118856,7.013915475,-0.029473625,-0.400590753,1
48,岩手,岩  手,0.357212096,8135.14,25,1074,7.57461825,3.225,4827468,2,岩  手,341,26,81,64,17,6,26,1.4,0.317504655,0.001303538,0.075418994,6.979145275,-1.147262798,-6.642673038,0.075418994,-2.58469612,8.932558233,0.357709195,1.186666667,-0.051533918,0.058335497,-0.013185681,6.979145275,-0.028418782,-0.177970701,2
49,宮城,宮  城,0.354516036,13795.965,25,1917,7.196643192,4.05,9463594,2,宮  城,455,20,122,88,34,5,26,1.9,0.237350026,0.000991132,0.063641106,7.558516743,-1.438219324,-6.916662857,0.063641106,-2.754495698,8.881369973,0.081988649,1.186666667,-0.032842207,0.135975816,-0.01355119,7.558516743,0.008921346,-0.177831503,3
50,秋田,秋  田,0.348033679,7195.235,25,889,8.093627672,4.025,3738794,2,秋  田,269,27,62,45,17,6,26,1.1,0.302587177,0.001237345,0.069741282,6.790097236,-1.195385856,-6.694787056,0.069741282,-2.66296285,8.998832324,0.124855532,1.186666667,-0.107343189,-0.040099033,-0.014063614,6.790097236,-0.045235234,-0.307530592,4
51,山形,山  形,0.348714627,6956.53,25,943,7.377020148,3.175,4394280,2,山  形,243,25,71,50,21,6,26,1,0.257688229,0.001060445,0.075291622,6.849066283,-1.356004839,-6.849066283,0.075291622,-2.586386406,8.906125062,-0.041466388,1.186666667,-0.062088572,0.136811823,-0.014276553,6.849066283,-0.03142788,-0.233152484,5
52,福島,福  島,0.348665777,11342.785,25,1599,7.093674171,3.45,7913225,2,福  島,421,22,113,78,35,6,26,2,0.263289556,0.001250782,0.070669168,7.377133713,-1.334500879,-6.683986532,0.070669168,-2.649745894,8.866958704,0.064698911,1.186666667,-0.065440195,0.001753708,-0.013781232,7.377133713,-0.028249945,-0.179641637,6
53,茨城,茨  城,0.358657314,13698.81,25,2406,5.693603491,3.8,12393167,2,茨  城,568,21,167,129,38,6,26,1.2,0.236076475,0.000498753,0.069409809,7.785720897,-1.443599478,-7.60339934,0.069409809,-2.667727084,8.647098629,-0.358182875,1.186666667,-0.112598769,0.082184572,-0.014156933,7.785720897,0.00398446,-0.176430104,7
54,栃木,栃  木,0.359223743,9543.7,25,1632,5.847855392,3.625,9102214,2,栃  木,392,23,111,79,32,6,26,1,0.240196078,0.000612745,0.068014706,7.397561536,-1.426299696,-7.397561536,0.068014706,-2.688031334,8.673830273,-0.196711765,1.186666667,-0.113838132,0.175011575,-0.013735579,7.397561536,0.008119108,-0.202425426,8
55,群馬,群  馬,0.35930306,10200.805,25,1621,6.292908698,3.45,8393919,2,群  馬,396,25,107,76,31,6,26,2.1,0.244293646,0.001295497,0.066008637,7.390798522,-1.40938431,-6.648861177,0.066008637,-2.717969687,8.747178675,0.328995152,1.186666667,-0.079186621,-0.042150012,-0.013053471,7.390798522,-0.003832641,-0.207690784,9
56,埼玉,埼  玉,0.361063544,33955.19,25,5940,5.716361953,3.9,22183912,2,埼  玉,1337,21,349,238,111,5,26,2.7,0.225084175,0.000454545,0.058754209,8.689464412,-1.491280835,-7.696212639,0.058754209,-2.83439249,8.65108786,-0.371515907,1.186666667,-0.104180564,0.078234516,-0.012460789,8.689464412,0.031824782,-0.152259542,10
57,新潟,新  潟,0.340000108,15133.725,25,1931,7.83724754,3.425,9371861,2,新  潟,542,26,143,111,32,6,26,1.9,0.280683584,0.000983946,0.074054894,7.565793282,-1.270527281,-6.923939396,0.074054894,-2.602948652,8.966642973,-0.021355153,1.186666667,-0.119968152,0.086077663,-0.014247893,7.565793282,-0.016521751,-0.220305107,11
58,長野,長  野,0.352138424,11352.295,25,1732,6.554442841,3.35,8795415,2,長  野,436,20,132,89,43,6,26,1.9,0.251732102,0.001096998,0.076212471,7.457032089,-1.379389846,-6.815178203,0.076212471,-2.574230167,8.787898395,0.038647254,1.186666667,-0.094580724,0.170390977,-0.014230971,7.457032089,-0.017128818,-0.091788234,12
59,千葉,千  葉,0.358901854,28923.895,25,5123,5.645890103,3.525,21383654,2,千  葉,1215,20,317,227,90,5,26,4.1,0.237165723,0.000800312,0.061877806,8.541495484,-1.438996128,-7.13050851,0.061877806,-2.78259371,8.638683144,0.147728965,1.186666667,-0.09666262,0.15337227,-0.012285596,8.541495484,0.029480005,-0.066948857,13
60,東京,東  京,0.368009814,90709.875,25,11259,8.056654676,3.975,98677205,2,東  京,2443,20,1057,827,230,8,26,9,0.21698197,0.000799361,0.093880451,9.328923088,-1.527941017,-7.13169851,0.093880451,-2.365733102,8.994253697,-0.218854667,1.186666667,-0.136756552,0.0274521,-0.014480954,9.328923088,0.055429572,-0.137739608,14
61,神奈川,神奈川,0.362786078,43772.675,25,7487,5.846490584,3.75,32334343,2,神奈川,1552,18,514,402,112,6,26,9,0.207292641,0.001202084,0.068652331,8.920923462,-1.573623761,-6.723698885,0.068652331,-2.678700197,8.67359686,0.358873829,1.186666667,-0.085755084,0.14970767,-0.012639036,8.920923462,0.035866221,-0.140120513,15
62,山梨,山  梨,0.360002141,4207.265,25,695,6.053618705,3.1,3526208,2,山  梨,184,23,45,34,11,5,26,0.6,0.264748201,0.000863309,0.064748201,6.543911846,-1.328976088,-7.054737469,0.064748201,-2.737249356,8.708411505,-0.031998125,1.186666667,-0.178379846,-0.15775665,-0.014162668,6.543911846,-0.011505461,-0.114542427,16
63,富山,富  山,0.353260848,5713.18,25,889,6.426524184,2.85,4658034,2,富  山,241,23,78,53,25,7,26,0.7,0.271091114,0.000787402,0.087739033,6.790097236,-1.305300302,-7.146772179,0.087739033,-2.433388409,8.768189109,0.007995083,1.186666667,-0.089447742,0.232585739,-0.015289599,6.790097236,-0.016544676,-0.121593313,17
64,石川,石  川,0.354048,5917.055,25,948,6.241619198,3.225,4962626,2,石  川,180,18,52,44,8,5,26,1.1,0.189873418,0.001160338,0.054852321,6.854354502,-1.661397651,-6.759044322,0.054852321,-2.903110784,8.738994915,0.165416201,1.186666667,-0.12956556,-0.090473453,-0.015294307,6.854354502,0.002197204,-0.32419081,18
65,福井,福  井,0.357528352,3866.81,25,644,6.004363354,2.525,3410407,2,福  井,133,18,39,29,10,5,26,0.7,0.206521739,0.001086957,0.060559006,6.467698726,-1.577349598,-6.82437367,0.060559006,-2.80413708,8.70024171,0.239658745,1.186666667,-0.088277223,-0.052385064,-0.015824455,6.467698726,-0.013657105,-0.242248281,19
66,岐阜,岐  阜,0.358248117,8766.135,25,1669,5.252327741,2.9,7652710,2,岐  阜,408,19,101,77,24,5,26,1,0.244457759,0.000599161,0.060515279,7.419979924,-1.408712749,-7.419979924,0.060515279,-2.804859407,8.566426637,-0.156907601,1.186666667,-0.110967281,0.045804885,-0.014554012,7.419979924,-0.008356185,-0.100723978,20
67,静岡,静  岡,0.360886726,17928.16,25,3051,5.876158637,3.075,17414087,2,静  岡,674,21,232,179,53,6,26,3.3,0.220911177,0.001081613,0.076040642,8.023224685,-1.509994574,-6.829302216,0.076040642,-2.576487313,8.678658534,0.409520555,1.186666667,-0.13308839,0.212009241,-0.013798665,8.023224685,-0.002318504,-0.137228777,21
68,愛知,愛  知,0.367274552,32446.685,25,6025,5.385341909,3.05,37837446,2,愛  知,1290,19,345,249,96,5,26,4.9,0.214107884,0.000813278,0.057261411,8.703672758,-1.541275261,-7.114437553,0.057261411,-2.860128341,8.59143608,0.169126933,1.186666667,-0.166983903,0.054716938,-0.014156652,8.703672758,0.030609622,-0.121378378,22
69,三重,三  重,0.35538055,8127.87,25,1496,5.433068182,2.8,9133379,2,三  重,310,19,97,63,34,5,26,2.2,0.207219251,0.001470588,0.064839572,7.310550159,-1.573977861,-6.522092798,0.064839572,-2.73583918,8.600259296,0.402738026,1.186666667,-0.060770308,0.027631496,-0.013947551,7.310550159,-0.003183695,-0.184011983,23
70,滋賀,滋  賀,0.351679681,5522.435,25,1134,4.869872134,2.85,6638253,2,滋  賀,254,21,72,61,11,5,26,1.2,0.223985891,0.001058201,0.063492063,7.033506484,-1.496172217,-6.851184927,0.063492063,-2.756840365,8.49082296,0.268177995,1.186666667,-0.149645803,0.119585135,-0.013613174,7.033506484,0.031842414,-0.135551916,24
