,Unnamed: 0,pref,burden rate,real consumption,fiscal_year,adult_population,cons_per_1000adult,unempr,grp,pref2,suicide,liver_disease,liver_disease_rate,year,loony,suicide_per_1000adult,loony_per_1000adult,liver_disease_1000,liver_disease_per_1000,pref_id,over65,total_population,cons_per_1000,over65rate,suicide_per_1000,loony_per_1000,grp_per_1000,birth_num,marriage_num,divorce_num,birth_rate,marriage_rate,divorce_rate
46,北海道,北海道,0.367041237,33153.49,25,4558,7.273692409,4.45,19245348,北海道,1080,313,6,26,6.1,0.236946029,0.001338306,0.06867047,0.06867047,0,27,5431,6.104490886,0.27,0.198858405,0.001123182,3543.610385,3160.416667,2204.75,934.3333333,0.581921684,0.405956546,0.172037071
47,青森,青  森,0.362293882,8915.695,25,1112,8.017711331,4.85,4619522,青  森,270,106,8,26,1,0.242805755,0.000899281,0.095323741,0.095323741,1,27.9,1335,6.678423221,0.279,0.202247191,0.000749064,3460.316105,756.4166667,474.3333333,196.3333333,0.566604245,0.355305868,0.147066167
48,岩手,岩  手,0.357212096,8135.14,25,1074,7.57461825,3.225,4827468,岩  手,341,81,6,26,1.4,0.317504655,0.001303538,0.075418994,0.075418994,2,28.7,1295,6.28196139,0.287,0.263320463,0.001081081,3727.774517,761.6666667,457.1666667,164.25,0.588159588,0.353024453,0.126833977
49,宮城,宮  城,0.354516036,13795.965,25,1917,7.196643192,4.05,9463594,宮  城,455,122,5,26,1.9,0.237350026,0.000991132,0.063641106,0.063641106,3,23.8,2328,5.926101804,0.238,0.195446735,0.000816151,4065.117698,1549.583333,1000.833333,343.9166667,0.665628579,0.429911226,0.147730527
50,秋田,秋  田,0.348033679,7195.235,25,889,8.093627672,4.025,3738794,秋  田,269,62,6,26,1.1,0.302587177,0.001237345,0.069741282,0.069741282,4,31.6,1050,6.852604762,0.316,0.256190476,0.001047619,3560.75619,515.9166667,326.9166667,122.4166667,0.491349206,0.311349206,0.116587302
51,山形,山  形,0.348714627,6956.53,25,943,7.377020148,3.175,4394280,山  形,243,71,6,26,1,0.257688229,0.001060445,0.075291622,0.075291622,5,29.1,1141,6.096871166,0.291,0.212971078,0.000876424,3851.253287,679.4166667,397.0833333,139.5833333,0.595457201,0.348013438,0.12233421
52,福島,福  島,0.348665777,11342.785,25,1599,7.093674171,3.45,7913225,福  島,421,113,6,26,2,0.263289556,0.001250782,0.070669168,0.070669168,6,26.9,1946,5.82876927,0.269,0.216341213,0.001027749,4066.405447,1218.833333,759.5,270.6666667,0.626327509,0.39028777,0.139088729
53,茨城,茨  城,0.358657314,13698.81,25,2406,5.693603491,3.8,12393167,茨  城,568,167,6,26,1.2,0.236076475,0.000498753,0.069409809,0.069409809,7,24.8,2931,4.673766633,0.248,0.193790515,0.000409417,4228.306721,1838,1202.916667,421.6666667,0.62708973,0.410411691,0.143864438
54,栃木,栃  木,0.359223743,9543.7,25,1632,5.847855392,3.625,9102214,栃  木,392,111,6,26,1,0.240196078,0.000612745,0.068014706,0.068014706,8,24.2,1986,4.805488419,0.242,0.197381672,0.000503525,4583.189325,1291.916667,846.25,295.25,0.650511917,0.426107754,0.14866566
55,群馬,群  馬,0.35930306,10200.805,25,1621,6.292908698,3.45,8393919,群  馬,396,107,6,26,2.1,0.244293646,0.001295497,0.066008637,0.066008637,9,25.8,1984,5.141534778,0.258,0.199596774,0.001058468,4230.805948,1221.25,752.8333333,289,0.615549395,0.379452285,0.145665323
56,埼玉,埼  玉,0.361063544,33955.19,25,5940,5.716361953,3.9,22183912,埼  玉,1337,349,5,26,2.7,0.225084175,0.000454545,0.058754209,0.058754209,10,23,7222,4.701632512,0.23,0.185128773,0.000373858,3071.713099,4757.416667,3059.5,1080.166667,0.6587395,0.423636112,0.149566141
57,新潟,新  潟,0.340000108,15133.725,25,1931,7.83724754,3.425,9371861,新  潟,542,143,6,26,1.9,0.280683584,0.000983946,0.074054894,0.074054894,11,28.1,2330,6.495160944,0.281,0.232618026,0.000815451,4022.25794,1419.333333,847.8333333,272.6666667,0.609155937,0.363876967,0.11702432
58,長野,長  野,0.352138424,11352.295,25,1732,6.554442841,3.35,8795415,長  野,436,132,6,26,1.9,0.251732102,0.001096998,0.076212471,0.076212471,12,28.3,2122,5.349809142,0.283,0.205466541,0.000895382,4144.870405,1343.75,830.0833333,281.8333333,0.633246937,0.391179705,0.132814954
59,千葉,千  葉,0.358901854,28923.895,25,5123,5.645890103,3.525,21383654,千  葉,1215,317,5,26,4.1,0.237165723,0.000800312,0.061877806,0.061877806,13,24.3,6192,4.671171673,0.243,0.19622093,0.000662145,3453.432494,3984.833333,2652.75,936.1666667,0.643545435,0.428415698,0.151189707
60,東京,東  京,0.368009814,90709.875,25,11259,8.056654676,3.975,98677205,東  京,2443,1057,8,26,9,0.21698197,0.000799361,0.093880451,0.093880451,14,21.9,13300,6.820291353,0.219,0.183684211,0.000676692,7419.338722,9109.083333,7456.333333,2047.5,0.684893484,0.560626566,0.153947368
61,神奈川,神奈川,0.362786078,43772.675,25,7487,5.846490584,3.75,32334343,神奈川,1552,514,6,26,9,0.207292641,0.001202084,0.068652331,0.068652331,15,22.4,9079,4.821310166,0.224,0.170943937,0.000991299,3561.443221,6130,4164.916667,1366.583333,0.675184492,0.458741785,0.15052135
62,山梨,山  梨,0.360002141,4207.265,25,695,6.053618705,3.1,3526208,山  梨,184,45,5,26,0.6,0.264748201,0.000863309,0.064748201,0.064748201,16,26.5,847,4.967255018,0.265,0.217237308,0.000708383,4163.173554,512.1666667,320.8333333,119.8333333,0.604683196,0.378787879,0.141479732
63,富山,富  山,0.353260848,5713.18,25,889,6.426524184,2.85,4658034,富  山,241,78,7,26,0.7,0.271091114,0.000787402,0.087739033,0.087739033,17,28.7,1076,5.30964684,0.287,0.223977695,0.000650558,4329.027881,642.4166667,401.75,126.25,0.597041512,0.373373606,0.117332714
